Question,Answer,Topic,Tags
How do you create a tablespace in Postgres?,<b>ANSWER:</b> Provide a name and an absolute directory path.<br><br><b>The Code:</b><br><code>CREATE TABLESPACE fast_ssd LOCATION '/mnt/ssd1/pg_data';</code><br><br>The OS user (`postgres` or `enterprisedb`) must have read/write permissions on that directory.,Storage & Clusters,edb_postgres tablespace sql
What are System Catalogs?,"<b>ANSWER:</b> The Postgres Data Dictionary (Metadata).<br><br>They are regular relational tables that store information about tables, columns, indexes, roles, and privileges. They begin with `pg_` (e.g., `pg_class`, `pg_attribute`, `pg_roles`).",Storage & Clusters,edb_postgres catalogs metadata
What does the `pg_class` catalog store?,"<b>ANSWER:</b> Information about all relation-like objects.<br><br>It tracks tables, indexes, sequences, and views. Crucial columns include `relname` (the name), `relpages` (size in pages), and `reltuples` (estimated number of rows).",Storage & Clusters,edb_postgres catalogs tables
What is the `OID` in Postgres storage?,"<b>ANSWER:</b> Object Identifier.<br><br>Every database, table, and index has a unique internal integer ID. Under the hood, Postgres doesn't name files `users_table.db`, it names them with their OID (e.g., `/base/16384/24567`), where 16384 is the Database OID and 24567 is the Table OID.",Storage & Clusters,edb_postgres storage oid
What is a Role in Postgres?,<b>ANSWER:</b> A User or a Group.<br><br>Postgres doesn't strictly distinguish between 'Users' and 'Groups'. A Role can log in (User) or simply act as a container for privileges (Group).<br><code>CREATE ROLE analyst LOGIN PASSWORD '123';</code>,Database Security,edb_postgres security roles
How do you grant Read-Only access to a table?,<b>ANSWER:</b> Using the GRANT command.<br><br><b>The Code:</b><br><code>GRANT SELECT ON TABLE users TO analyst;</code><br><br>To grant read access to ALL tables in a schema:<br><code>GRANT SELECT ON ALL TABLES IN SCHEMA public TO analyst;</code>,Database Security,edb_postgres security privileges
What is Row-Level Security (RLS)?,<b>ANSWER:</b> Restricting access to specific rows based on the user's role.<br><br><b>Example:</b> A manager can only `SELECT` rows in the `Sales` table where `region = 'North'`.<br>You enable it via <code>ALTER TABLE Sales ENABLE ROW LEVEL SECURITY;</code> and then define a `CREATE POLICY`.,Database Security,edb_postgres security rls
What is the `pg_stat_statements` extension used for?,"<b>ANSWER:</b> Tracking query performance statistics.<br><br>It records how many times a specific SQL query was executed, total execution time, min/max times, and memory used. It is the #1 tool for finding the slowest queries dragging down the database.",Monitoring & Admin,edb_postgres monitoring tuning
How do you find long-running queries currently executing?,"<b>ANSWER:</b> Query the `pg_stat_activity` view.<br><br><b>The Code:</b><br><code>SELECT pid, usename, state, query, now() - query_start AS duration <br>FROM pg_stat_activity <br>WHERE state = 'active' <br>AND now() - query_start > interval '5 minutes';</code>",Monitoring & Admin,edb_postgres monitoring queries
What are the three main approaches to backing up a Postgres database?,"<b>ANSWER:</b> SQL Dump, File System Level Backup, and Continuous Archiving (PITR).<br><br>1. <b>SQL Dump (pg_dump):</b> Logical backup creating SQL statements to recreate data.<br>2. <b>File System Backup:</b> Stopping the DB and copying the raw data files.<br>3. <b>Continuous Archiving / PITR:</b> Taking a base backup and archiving WAL files to allow restoring to any specific second in time.",Backup & Recovery,edb_postgres backup types
What is `pg_dump`?,<b>ANSWER:</b> A utility for Logical Backups.<br><br>It extracts a Postgres database into a script file or archive file. It does <b>not</b> block other users from reading or writing to the database while it runs.,Backup & Recovery,edb_postgres backup pg_dump
How do you backup ALL databases on a Postgres server at once?,"<b>ANSWER:</b> Use the `pg_dumpall` utility.<br><br><b>The Code:</b><br><code>pg_dumpall -U postgres > all_dbs_backup.sql</code><br><br>Unlike `pg_dump` which targets one DB, `pg_dumpall` grabs everything, including global objects like Roles and Tablespaces.",Backup & Recovery,edb_postgres backup pg_dumpall
What is WAL Archiving?,"<b>ANSWER:</b> Saving old Write-Ahead Logs before they are overwritten.<br><br>By default, Postgres recycles old WAL files. If you enable `archive_mode = on` and set an `archive_command` (e.g., copying the WAL to a remote server or S3), you can keep a permanent record of all transactions.",Backup & Recovery,edb_postgres backup wal archiving
What is PITR (Point-in-Time Recovery)?,"<b>ANSWER:</b> Restoring a database to a specific moment in time (e.g., right before someone accidentally dropped a table).<br><br><b>How it works:</b> You restore a physical Base Backup, then Postgres replays the Archived WAL files sequentially, and you tell it to stop at a specific timestamp using `recovery_target_time`.",Backup & Recovery,edb_postgres backup pitr
What does `pg_basebackup` do?,<b>ANSWER:</b> Takes a physical backup of a running database cluster.<br><br>It connects via the replication protocol and safely copies the raw binary files (`$PGDATA`) without needing to shut down the server. This forms the starting point for PITR or setting up a Replica.,Backup & Recovery,edb_postgres backup pg_basebackup
What is Streaming Replication in Postgres?,<b>ANSWER:</b> Asynchronous Physical Replication.<br><br>The Primary server continuously streams its WAL records over a network connection to one or more Standby servers. The Standbys apply these records to physically match the Primary.,Replication & HA,edb_postgres replication streaming
What is a 'Replication Slot'?,"<b>ANSWER:</b> A safety mechanism to prevent the Primary from deleting WAL files before the Standby has received them.<br><br>Without a slot, if the Standby disconnects, the Primary might overwrite old WALs, breaking the replication permanently. With a slot, the Primary holds onto the WALs (consuming disk space) until the Standby reconnects.",Replication & HA,edb_postgres replication slots
What is the difference between Physical and Logical Replication?,"<b>ANSWER:</b> Byte-for-byte copy vs SQL-statement copy.<br><br>• <b>Physical (Streaming):</b> Copies exact disk blocks. Standby is 100% identical and Read-Only.<br>• <b>Logical:</b> Replicates actual table data changes (Inserts/Updates). Allows replicating a single table, replicating between different Postgres versions, and the replica can still accept writes to other tables.",Replication & HA,edb_postgres replication physical logical
How do you check replication lag on the Primary server?,"<b>ANSWER:</b> Query the `pg_stat_replication` view.<br><br><b>The Code:</b><br><code>SELECT client_addr, state, sent_lsn, write_lsn, replay_lsn <br>FROM pg_stat_replication;</code><br><br>You compare the Primary's WAL location (`sent_lsn`) against the Standby's location (`replay_lsn`).",Replication & HA,edb_postgres replication lag monitoring
What is Synchronous Replication?,"<b>ANSWER:</b> Zero Data Loss guarantees.<br><br>Configured via `synchronous_commit = on` and `synchronous_standby_names`. The Primary will <b>pause</b> the client's COMMIT request until the Standby acknowledges it has received and written the WAL. <b>Risk:</b> If the Standby goes offline, the Primary hangs and stops accepting writes.",Replication & HA,edb_postgres replication synchronous
What does the `VACUUM` command do?,"<b>ANSWER:</b> Reclaims storage occupied by dead tuples.<br><br>In Postgres (due to MVCC), updating or deleting a row doesn't remove it physically; it marks it as dead. `VACUUM` scans tables to find these dead rows and marks their disk space as available for future inserts.",Routine Maintenance,edb_postgres maintenance vacuum
What is `VACUUM FULL` and why should you avoid it in production?,"<b>ANSWER:</b> It completely rebuilds the table to return disk space to the OS.<br><br><b>The Danger:</b> It requires an exclusive lock (blocking ALL reads and writes) and creates a brand new copy of the table, requiring double the disk space temporarily. Standard `VACUUM` is preferred.",Routine Maintenance,edb_postgres maintenance vacuum full
What does the `ANALYZE` command do?,"<b>ANSWER:</b> Updates table statistics for the Query Planner.<br><br>It samples data in tables (e.g., most common values, distribution) and stores it in `pg_statistic`. The Query Planner uses this to decide whether to use an Index Scan or a Sequential Scan.",Routine Maintenance,edb_postgres maintenance analyze planner
What is the Autovacuum Daemon?,"<b>ANSWER:</b> A background process that automatically runs `VACUUM` and `ANALYZE`.<br><br>It wakes up periodically, checks `pg_stat_all_tables` for tables with lots of dead tuples or changes, and automatically vacuums them. It is highly recommended to leave this ON in production.",Routine Maintenance,edb_postgres maintenance autovacuum
How do you rebuild a corrupted or bloated index?,"<b>ANSWER:</b> Using `REINDEX`.<br><br><b>The Code:</b><br><code>REINDEX INDEX my_index_name;</code><br>Or rebuild all indexes on a table:<br><code>REINDEX TABLE my_table;</code><br>Note: In PG12+, use `REINDEX CONCURRENTLY` to avoid blocking writes.",Routine Maintenance,edb_postgres maintenance reindex
What is Transaction ID (XID) Wraparound?,"<b>ANSWER:</b> A catastrophic failure caused by not vacuuming.<br><br>Postgres assigns an integer ID to every transaction. The max is 2 billion. Once it hits 2 billion, it 'wraps around' to 0. If old rows aren't 'frozen' via VACUUM before this happens, Postgres suddenly thinks old rows belong to the future and hides them, resulting in massive data loss. The database will shut down to prevent this if vacuum is ignored.",Postgres Architecture,edb_postgres architecture vacuum xid
What is an Index-Only Scan?,"<b>ANSWER:</b> A performance optimization where the query planner gets all requested data directly from the Index, without visiting the Table.<br><br>Example: If you have an index on `(id, email)` and you run `SELECT email FROM users WHERE id = 5;`, it doesn't need to read the table. The Visibility Map must indicate the page is fully visible.",SQL Tuning,edb_postgres tuning indexes scan
What is a Sequential Scan (Seq Scan)?,"<b>ANSWER:</b> Scanning the entire table from top to bottom.<br><br>Usually happens when there is no index, or the query planner decides the query will fetch a huge percentage of the table anyway (so reading the table directly is faster than bouncing between the index and table).",SQL Tuning,edb_postgres tuning scan sequential
How do you view the execution plan of a query?,<b>ANSWER:</b> Use the `EXPLAIN` command.<br><br><b>The Code:</b><br><code>EXPLAIN SELECT * FROM users WHERE age > 30;</code><br><br>Use `EXPLAIN ANALYZE` to actually execute the query and show the real execution times versus the estimates.,SQL Tuning,edb_postgres sql tuning explain
What is a Common Table Expression (CTE)?,"<b>ANSWER:</b> A temporary result set that you can reference within another SQL statement.<br><br><b>The Code:</b><br><code>WITH regional_sales AS (<br>  SELECT region, SUM(amount) as total_sales FROM orders GROUP BY region<br>)<br>SELECT * FROM regional_sales WHERE total_sales > 10000;</code><br><br>It makes complex queries much more readable compared to nested subqueries.",Advanced SQL,edb_postgres sql cte
What is a Window Function in SQL?,"<b>ANSWER:</b> A function that performs a calculation across a set of table rows that are somehow related to the current row, <i>without</i> grouping them into a single output row.<br><br><b>Example:</b><br><code>SELECT name, salary, AVG(salary) OVER (PARTITION BY department) FROM employees;</code><br>This shows each employee's salary alongside the average salary of their department.",Advanced SQL,edb_postgres sql window_function
What is the difference between `UNION` and `UNION ALL`?,<b>ANSWER:</b> Duplicates.<br><br>• <b>`UNION`</b>: Combines the result sets of two queries and <b>removes</b> duplicate rows. It requires a sort operation (which is slow).<br>• <b>`UNION ALL`</b>: Combines the result sets and <b>keeps</b> duplicates. It is much faster because it doesn't need to sort and deduplicate.,SQL Fundamentals,edb_postgres sql union
How does `UPSERT` work in Postgres?,"<b>ANSWER:</b> Using the `ON CONFLICT` clause.<br><br>It attempts to INSERT a row. If it violates a unique constraint (like an ID already exists), it performs an UPDATE instead.<br><br><b>The Code:</b><br><code>INSERT INTO users (id, name) VALUES (1, 'John')<br>ON CONFLICT (id) DO UPDATE SET name = 'John';</code>",Advanced SQL,edb_postgres sql upsert
What is a `LATERAL` join?,"<b>ANSWER:</b> A join that allows a subquery in the FROM clause to reference columns from preceding items in the FROM clause.<br><br>It's like a 'foreach' loop in SQL. For every row in the left table, it executes the right subquery passing in values from the left row.",Advanced SQL,edb_postgres sql joins lateral
What is a Materialized View?,"<b>ANSWER:</b> A view that caches its result set physically on disk.<br><br>Standard views just save the SQL query. Materialized Views actually run the query and store the data, making reads lightning fast for complex aggregations. You must manually refresh them using <code>REFRESH MATERIALIZED VIEW my_view;</code>",Advanced SQL,edb_postgres sql materialized_view
What is PL/pgSQL?,"<b>ANSWER:</b> Postgres's Procedural Language.<br><br>It extends standard SQL by adding control structures like `IF`, `WHILE`, `FOR` loops, and variables. It is used to write powerful Stored Procedures, Functions, and Triggers.",PL/pgSQL,edb_postgres plpgsql
What is the difference between a Function and a Procedure in Postgres 11+?,<b>ANSWER:</b> Transaction control.<br><br>• <b>Function:</b> Cannot commit or rollback transactions inside itself. Usually returns a value.<br>• <b>Procedure:</b> Can execute <code>COMMIT;</code> and <code>ROLLBACK;</code> inside its body. Does not return a value. Invoked using <code>CALL my_procedure();</code> instead of `SELECT`.,PL/pgSQL,edb_postgres plpgsql procedure function
What is a Trigger in Postgres?,"<b>ANSWER:</b> A function that is automatically invoked by the database in response to specific events (INSERT, UPDATE, DELETE, TRUNCATE) on a table.<br><br>They can run `BEFORE` or `AFTER` the event. Often used for auditing (e.g., logging who changed a row) or enforcing complex business rules.",PL/pgSQL,edb_postgres plpgsql trigger
What is `postgres_fdw`?,<b>ANSWER:</b> Foreign Data Wrapper.<br><br>An extension that allows you to access tables stored in a <i>completely different</i> Postgres database server as if they were local tables. You can join a local table with a remote table seamlessly.,Extensions,edb_postgres extensions fdw
What is the `pg_cron` extension?,"<b>ANSWER:</b> A simple cron-based job scheduler that runs inside the database.<br><br>It allows DBAs to schedule tasks like `VACUUM`, `REFRESH MATERIALIZED VIEW`, or data aggregations using standard cron syntax directly in SQL.<br><code>SELECT cron.schedule('0 2 * * *', 'VACUUM ANALYZE users');</code>",Extensions,edb_postgres extensions cron
What is the fastest way to load a massive amount of data into Postgres?,"<b>ANSWER:</b> The `COPY` command.<br><br>It is highly optimized for bulk data loading directly from a CSV or text file. It is exponentially faster than running millions of individual `INSERT` statements.<br><code>COPY users FROM '/tmp/users.csv' DELIMITER ',' CSV;</code>",Data Loading,edb_postgres copy data_loading
What is the difference between `COPY` and `\copy` in psql?,"<b>ANSWER:</b> Where the file lives.<br><br>• <b>`COPY`</b>: An SQL command. The file must exist on the <b>Database Server</b>, and the Postgres OS user must have read permissions to it.<br>• <b>`\copy`</b>: A psql meta-command. The file exists on the <b>Client Machine</b> running psql, and the data is streamed over the network to the server.",Data Loading,edb_postgres copy psql
What is MVCC (Multi-Version Concurrency Control)?,"<b>ANSWER:</b> Postgres's method for handling concurrent transactions without locking.<br><br><b>""Readers don't block writers, and writers don't block readers.""</b> When you UPDATE a row, Postgres creates a brand new version of that row. Other transactions keep reading the old version until your transaction COMMITs.",Architecture,edb_postgres architecture mvcc
What is a Deadlock?,"<b>ANSWER:</b> When two transactions block each other indefinitely.<br><br>• Tx1 locks Row A, wants Row B.<br>• Tx2 locks Row B, wants Row A.<br>Neither can proceed. Postgres detects this automatically after `deadlock_timeout` (default 1s), kills one of the transactions, and rolls it back.",Architecture,edb_postgres architecture locking deadlock
What is the `pg_locks` view used for?,"<b>ANSWER:</b> Viewing all active locks in the database.<br><br>DBAs use it alongside `pg_stat_activity` to figure out which query is blocking other queries. (e.g., if a developer accidentally started a transaction, locked a table, and went to lunch without committing).",Monitoring & Admin,edb_postgres monitoring locks
What is a B-Tree Index?,"<b>ANSWER:</b> The default index type in Postgres.<br><br>It is a balanced tree highly optimized for most common queries, including equality (`=`) and range (`>`, `<`, `BETWEEN`) comparisons. If you just type `CREATE INDEX`, you get a B-Tree.",Indexing,edb_postgres indexing btree
What is a GIN Index used for?,"<b>ANSWER:</b> Generalized Inverted Index.<br><br>Highly optimized for columns that contain <b>multiple values</b>, such as Arrays or JSONB documents, or for Full-Text Search. It is excellent at querying ""Does this array contain this specific item?""",Indexing,edb_postgres indexing gin jsonb
What is a Partial Index?,"<b>ANSWER:</b> An index built on only a subset of a table's rows.<br><br><b>Example:</b> If you have a massive `orders` table, but 99% of queries only search for 'Unshipped' orders, you can create a tiny, lightning-fast index:<br><code>CREATE INDEX idx_unshipped ON orders (customer_id) WHERE status = 'Unshipped';</code>",Indexing,edb_postgres indexing partial
Why should you use `CREATE INDEX CONCURRENTLY` in production?,"<b>ANSWER:</b> To avoid locking out writes.<br><br>A standard `CREATE INDEX` locks the table against writes (INSERT/UPDATE/DELETE) while the index builds. `CONCURRENTLY` builds the index in the background without blocking writes, though it takes slightly longer to finish.",Indexing,edb_postgres indexing concurrently
What is Table Partitioning in Postgres?,"<b>ANSWER:</b> Splitting one large logical table into smaller physical pieces (partitions).<br><br>Users query the 'parent' table normally, but Postgres routes the query only to the relevant 'child' partitions (Partition Pruning). This massively improves performance for huge tables (e.g., millions of rows) by scanning less data and making indexes smaller.",Advanced DBA,edb_postgres partitioning table
What are the three types of Declarative Partitioning in Postgres?,"<b>ANSWER:</b> Range, List, and Hash.<br><br>1. <b>Range:</b> Partitioning by a continuous range of values (e.g., Dates: `partition_2023`, `partition_2024`).<br>2. <b>List:</b> Partitioning by exact discrete values (e.g., Country: `part_usa`, `part_uk`).<br>3. <b>Hash:</b> Distributing rows evenly across a fixed number of partitions based on a hash of the key.",Advanced DBA,edb_postgres partitioning types
What is Partition Pruning?,"<b>ANSWER:</b> A query optimization technique where the planner ignores partitions that cannot possibly contain the requested data.<br><br>If a table is partitioned by year, and you query `WHERE order_date = '2023-05-01'`, the planner 'prunes' (skips) all the 2022 and 2024 partitions, saving massive I/O.",Advanced DBA,edb_postgres partitioning tuning
"What is Connection Pooling, and why is PgBouncer widely used?","<b>ANSWER:</b> Reusing a small number of database connections for a large number of clients.<br><br>Postgres creates a heavy OS process for every connection. If 5,000 clients connect directly, the server will crash due to memory exhaustion. <b>PgBouncer</b> sits in front, accepts the 5,000 lightweight client connections, and routes them through just 100 actual heavy Postgres connections.",High Availability,edb_postgres ha pgbouncer connection_pooling
What is Patroni?,"<b>ANSWER:</b> A template for High Availability (HA) Postgres clusters.<br><br>It uses a Distributed Configuration Store (like etcd, Consul, or ZooKeeper) to manage a Postgres cluster. If the Primary node dies, Patroni detects it, automatically promotes the best Standby to Primary, and updates the network routing.",High Availability,edb_postgres ha patroni failover
What is `repmgr`?,<b>ANSWER:</b> Replication Manager for Postgres.<br><br>A popular open-source tool suite that simplifies the administration of Postgres streaming replication clusters. It handles cloning standby servers (`repmgr standby clone`) and managing manual or automatic failover.,High Availability,edb_postgres ha repmgr replication
What is pgBackRest?,"<b>ANSWER:</b> A highly scalable, parallel backup and restore tool for Postgres.<br><br>Unlike basic `pg_basebackup`, it supports parallel compression/decompression across multiple CPU cores, differential/incremental backups, and direct backups to S3/Cloud storage. It is the industry standard for large Postgres databases.",Backup & Recovery,edb_postgres backup pgbackrest
"What is the difference between a Full, Differential, and Incremental backup in pgBackRest?","<b>ANSWER:</b> How much data is copied.<br><br>• <b>Full:</b> Copies every file in the database cluster.<br>• <b>Differential:</b> Copies only files that changed since the <i>last Full</i> backup.<br>• <b>Incremental:</b> Copies only files that changed since the <i>last backup of any type</i> (Full, Diff, or Incr).",Backup & Recovery,edb_postgres backup pgbackrest types
What is the EDB Postgres Resource Manager?,"<b>ANSWER:</b> A tool to control CPU and I/O consumption by user or group.<br><br>In standard Postgres, a bad query can eat 100% CPU. EDB Advanced Server allows DBAs to create 'Resource Groups' (e.g., 'Analyst_Group') and hard-limit them to, say, 20% CPU, ensuring production transactions are never starved.",EDB Advanced Server,edb_postgres advanced resource_manager
What is EDB SQL Profiler?,"<b>ANSWER:</b> A tool to trace and diagnose slow SQL queries in real-time.<br><br>It integrates with Postgres Enterprise Manager (PEM) to capture query execution statistics, execution plans, and wait events to help DBAs pinpoint exactly where a query is spending its time.",EDB Advanced Server,edb_postgres advanced profiling tuning
What is EDB Postgres Enterprise Manager (PEM)?,"<b>ANSWER:</b> A centralized, web-based management and monitoring console.<br><br>It provides a single pane of glass to monitor hundreds of Postgres instances, offering custom dashboards, alerting, capacity planning, and automated maintenance scheduling.",EDB Advanced Server,edb_postgres advanced pem monitoring
What are EDB Wait States?,"<b>ANSWER:</b> Detailed diagnostics showing exactly what a process is waiting for.<br><br>While community Postgres has `pg_stat_activity.wait_event`, EDB provides deeper Oracle-style wait state views (like `edb_wait_states`) that historicalize wait data over time (e.g., CPU, Disk I/O, Locks) for forensic tuning.",EDB Advanced Server,edb_postgres advanced tuning wait_states
Does EDB Advanced Server support Oracle PL/SQL natively?,"<b>ANSWER:</b> Yes. It includes a native PL/SQL engine (SPL - Stored Procedure Language).<br><br>This allows Oracle stored procedures, functions, packages, and triggers to run directly on EDB Postgres with little to no modification, massively simplifying Oracle-to-Postgres migrations.",EDB Advanced Server,edb_postgres advanced oracle_compatibility
What is `pgAudit`?,"<b>ANSWER:</b> PostgreSQL Audit Extension.<br><br>It provides detailed, standard-compliant session and object auditing. Instead of just logging text to a file, it structure logs exactly what SQL was executed by whom, which is often required for compliance (HIPAA, PCI, SOX).",Database Security,edb_postgres security pgaudit compliance
How do you enforce SSL/TLS encryption for database connections?,"<b>ANSWER:</b> In `postgresql.conf` and `pg_hba.conf`.<br><br>1. Set `ssl = on` in `postgresql.conf` and provide the cert/key paths.<br>2. In `pg_hba.conf`, change the connection type from `host` to `hostssl`.<br>This forces clients to use an encrypted connection.",Database Security,edb_postgres security ssl networking
What is SCRAM-SHA-256?,"<b>ANSWER:</b> The modern, secure password authentication method for Postgres.<br><br>It replaced the old, insecure `md5` method. It prevents password sniffing on the network and prevents replay attacks. You set it via `password_encryption = scram-sha-256` in `postgresql.conf`.",Database Security,edb_postgres security passwords authentication
