Question,Answer,Topic,Tags,CardType
"Your manager wants a report showing the top 3 highest-paid employees in each department. If there is a tie in salary, they should receive the same rank, and the next rank should be skipped. Which SQL function do you use and how?","<b>ANSWER:</b> Use the <code>RANK()</code> window function partitioned by department.<br><br><b>The Simple Explanation:</b><br>`RANK()` gives identical values the same rank and skips the subsequent ranks (e.g., 1, 1, 3). If you didn't want to skip numbers, you'd use `DENSE_RANK()`.<br><br><b>The Code:</b><br><code>SELECT Department, Employee, Salary, RANK() OVER (PARTITION BY Department ORDER BY Salary DESC) as Rank_Num FROM Employees;</code>",SQL Postgres,sql window-function ranking type-scenario,scenario
"What does this code do?<br><code>import joblib<br>joblib.dump(model, 'churn_model.pkl')</code>",<b>ANSWER:</b> It serializes (saves) the trained machine learning model to a file on your hard drive.<br><br><b>The Simple Explanation:</b><br>Training a model can take hours. Saving it allows you to load it later (`joblib.load`) in a different script to instantly make predictions on new daily data.,Analyst ML,ml sklearn save joblib type-reverse,reverse
"Given a DataFrame `df` with numeric columns `A` and `B`, what does `df.corr()` return?","<b>ANSWER:</b> A correlation matrix DataFrame (usually 2x2 here) showing the Pearson correlation coefficients between the columns, ranging from -1 to 1.",Analyst Python,pandas analyst statistics correlation predict type-predict,predict
"Fill in the blank to perform 5-fold cross-validation on a model:<br><code>from sklearn.model_selection import cross_val_score<br>scores = cross_val_score(model, X, y, ____=5)</code>",<b>ANSWER:</b> <code>cv</code> (stands for cross-validation),Analyst ML,ml sklearn cross-validation type-cloze,cloze
"What does `classification_report(y_test, predictions)` output?","<b>ANSWER:</b> A formatted text report showing the Precision, Recall, F1-Score, and Support (count) for each class in the dataset.<br><br><b>The Simple Explanation:</b><br>It is the fastest way to get a comprehensive view of how well a classifier is performing across all categories.",Analyst ML,ml sklearn evaluation report type-reverse,reverse
"`pd.concat([df1, df2], axis=0)` vs `pd.concat([df1, df2], axis=1)` — what is the result of each?","<b>ANSWER:</b><br><code>axis=0</code> (default): Stacks the DataFrames vertically, adding rows (like a SQL UNION).<br><code>axis=1</code>: Glues the DataFrames horizontally side-by-side, adding columns based on the index.",Analyst Python,pandas analyst concat compare type-compare,compare
"If a model predicts housing prices in dollars (continuous values), which type of baseline algorithm should you use from sklearn: `LogisticRegression` or `LinearRegression`?","<b>ANSWER:</b> `LinearRegression`<br><br><b>The Simple Explanation:</b><br>Linear Regression predicts continuous numbers (e.g., price, age). Despite the name, Logistic Regression predicts probabilities for classification (e.g., Yes/No, Churn/Retain).",Analyst ML,ml sklearn algorithm predict type-predict,predict
What does `GROUPING SETS` do compared to a standard `GROUP BY`?,"<b>ANSWER:</b><br>It allows you to compute multiple `GROUP BY` aggregations (like grouping by Region, then grouping by Month, then grand total) in a single query, rather than writing multiple queries with `UNION ALL`.",SQL Postgres,sql group-by grouping-sets compare type-compare,compare
"This is supposed to update overdue orders, but the analyst ran it and every row in the table changed status. What went wrong?<br><code>UPDATE Orders SET Status = 'Overdue';</code>","<b>ANSWER:</b> Missing WHERE clause — without one, UPDATE applies to every row in the table.<br><br><b>The Fix:</b><br><code>UPDATE Orders SET Status = 'Overdue' WHERE DueDate < CURRENT_DATE AND Status != 'Paid';</code>",SQL Postgres,sql dml update type-debug,debug
"What does this code do?<br><code>keys = ['name', 'age']<br>vals = ['Alice', 30]<br>result = dict(zip(keys, vals))</code>","<b>ANSWER:</b> It combines two separate lists into a single dictionary.<br><br><b>The Simple Explanation:</b><br>`zip()` pairs up corresponding elements from multiple iterables, and wrapping it in `dict()` turns those pairs into key-value bindings.",Python Core,python core zip dict type-reverse,reverse
What is the difference between an `IN` subquery and an `EXISTS` correlated subquery?,"<b>ANSWER:</b><br><code>IN</code> evaluates the subquery once, returning a list of values to check against.<br><code>EXISTS</code> evaluates the subquery row-by-row (correlated) and stops as soon as it finds a true match, often making it much faster for large tables.",SQL Postgres,sql subqueries exists compare type-compare,compare
Fill in the blank to log a warning message to the console using the logging module:<br><code>import logging<br>logging.____('API rate limit approaching!')</code>,<b>ANSWER:</b> <code>warning</code>,Python Core,python core logging warning type-cloze,cloze
"If `model.feature_importances_` returns `[0.7, 0.2, 0.1]`, which feature had the biggest impact on the predictions?","<b>ANSWER:</b> The first feature (index 0).<br><br><b>The Simple Explanation:</b><br>Tree-based models (like Random Forest or XGBoost) assign an importance score between 0 and 1 to every feature, summing to 1.0. The highest number is the most important driver.",Analyst ML,ml sklearn feature-importance predict type-predict,predict
You want to concatenate strings in a group. What function do you use in Postgres vs MySQL?,"<b>ANSWER:</b><br>Postgres: <code>STRING_AGG(col, ', ')</code><br>MySQL: <code>GROUP_CONCAT(col SEPARATOR ', ')</code>",SQL Dialect Diff,sql string-agg group-concat dialect compare type-compare,compare
"You are analyzing a dataset and need to filter a DataFrame to only include rows where the 'Status' column is either 'Completed', 'Processing', or 'Shipped'. Writing multiple OR conditions is messy. What is the cleanest method?","<b>ANSWER:</b> Use the <code>isin()</code> method.<br><br><b>The Simple Explanation:</b><br>`isin()` checks if each element in the Series is contained in the provided list, returning a boolean mask perfect for filtering.<br><br><b>The Code:</b><br><code>valid_statuses = ['Completed', 'Processing', 'Shipped']<br>filtered_df = df[df['Status'].isin(valid_statuses)]</code>",Analyst Python,pandas analyst filtering isin type-scenario,scenario
`os.path` vs `pathlib` — what's the difference and which is preferred in modern Python?,"<b>ANSWER:</b><br><code>os.path</code>: Older, string-based path manipulation.<br><code>pathlib</code>: Newer, object-oriented approach (Path objects) preferred in Python 3. It's much cleaner and automatically handles Windows/Mac slash differences.",Python Files,python files os pathlib compare type-compare,compare
"This query fails in MySQL but works in Postgres. Why?<br><code>SELECT * FROM ""Users"" WHERE ""Email"" = 'test';</code>","<b>ANSWER:</b> Double quotes for identifiers.<br><br><b>The Simple Explanation:</b><br>Postgres uses double quotes `""` for case-sensitive table/column names. MySQL uses backticks `` ` ``.",SQL Dialect Diff,sql identifiers quotes dialect type-debug,debug
You want to extract the 'city' string from a Postgres JSONB column named `user_metadata`. Which operator is preferred to extract it as text?,"<b>ANSWER:</b> The <code>-&gt;&gt;</code> operator.<br><br><b>The Simple Explanation:</b><br>`-&gt;` returns a JSON object, while `-&gt;&gt;` returns the value as raw text, which is usually what you want for filtering or displaying.<br><br><b>The Code:</b><br><code>SELECT user_metadata-&gt;&gt;'city' FROM Users;</code>",SQL Postgres,sql jsonb postgres type-scenario,scenario
"If an XGBoost churn model outputs `[0.1, 0.9, 0.4]` when calling `model.predict_proba(X)`, what do these numbers represent?","<b>ANSWER:</b> The predicted probability that each row belongs to the positive class (e.g., 10%, 90%, 40% chance of churning).",Analyst ML,ml xgboost predict_proba predict type-predict,predict
You need to merge two folders of CSV exports into one file every night via a scheduled script. How do you loop through all files matching a pattern in a directory?,"<b>ANSWER:</b> Use <code>glob.glob()</code> to pattern-match files.<br><br><b>The Simple Explanation:</b><br>glob returns a list of file paths matching a wildcard pattern, so you can loop through and process each one without hardcoding filenames.<br><br><b>The Code:</b><br><code>import glob<br>for file in glob.glob('data/*.csv'):<br>    process(file)</code>",Python Files,python files glob pattern type-scenario,scenario
"Given the frame <code>ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW</code>, what is the output of SUM(Sales) on row 3 if Sales are [10, 20, 30]?",<b>ANSWER:</b> 60<br><br><b>The Simple Explanation:</b><br>It sums from the very beginning (unbounded preceding) up to the current row (30). 10 + 20 + 30 = 60.,SQL Postgres,sql window-function frame predict type-predict,predict
Fill in the blank to import the industry-standard gradient boosting library widely used by analysts for tabular data:<br><code>from ____ import XGBClassifier</code>,"<b>ANSWER:</b> <code>xgboost</code><br><br><b>The Simple Explanation:</b><br>XGBoost (Extreme Gradient Boosting) is not part of sklearn, but it uses the exact same `.fit()` and `.predict()` API. It is often the most accurate model for tabular business data.",Analyst ML,ml xgboost import type-cloze,cloze
"Fill in the blank to replace all spaces with underscores in a string using regex:<br><code>import re<br>clean_str = re.____(r'\s+', '_', 'messy   string')</code>",<b>ANSWER:</b> <code>sub</code>,Python Core,python core regex string type-cloze,cloze
You want to identify and remove all completely duplicate rows in your DataFrame to ensure data integrity before reporting. What two methods handle this process?,"<b>ANSWER:</b> Use <code>duplicated()</code> to find them, and <code>drop_duplicates()</code> to remove them.<br><br><b>The Simple Explanation:</b><br>`drop_duplicates()` creates a new DataFrame with duplicate rows removed. You can also specify a subset of columns to consider when looking for duplicates.<br><br><b>The Code:</b><br><code># To check count: print(df.duplicated().sum())<br>df_clean = df.drop_duplicates()</code>",Analyst Python,pandas analyst duplicates type-scenario,scenario
Write a simple Python script from scratch that reads a file `config.json` and loads it into a Python dictionary.,"<b>ANSWER:</b><br><code>import json<br>with open('config.json', 'r') as f:<br>    config = json.load(f)</code>",Python Files,python files json dict type-fromscratch,fromscratch
"What does this code do, and what is this pattern called?<br><code>with open('log.txt', 'r') as f:<br>    lines = f.readlines()</code>","<b>ANSWER:</b> Opens a file safely using a context manager, reads all lines into a list, then auto-closes the file.<br><br><b>The Simple Explanation:</b><br>The `with` statement is a context manager — it guarantees the file is closed even if an error occurs inside the block, so you never need to call `.close()` manually.",Python Files,python files context-manager with type-reverse,reverse
"The model trained on `X_train` successfully, but when calling `model.predict(X_test)`, it throws an error saying the number of features do not match. What likely happened during preprocessing?","<b>ANSWER:</b> `X_test` underwent different preprocessing than `X_train`.<br><br><b>The Fix:</b> Often caused by using `pd.get_dummies()` separately on train/test sets, resulting in missing columns if the test set lacks a certain category. Use sklearn's `OneHotEncoder` and fit it only on the training set.",Analyst ML,ml sklearn predict debug shape type-debug,debug
A junior analyst scales both the training data and the testing data separately using `fit_transform` on both. Why is this a serious mistake (Data Leakage)?,<b>ANSWER:</b> The test set must be scaled using the exact same mean and standard deviation learned from the training set.<br><br><b>The Fix:</b><br><code>scaler = StandardScaler()<br>X_train_scaled = scaler.fit_transform(X_train)<br>X_test_scaled = scaler.transform(X_test)</code>,Analyst ML,ml sklearn scaling debug data-leakage type-debug,debug
You are dealing with a complex query containing multiple nested subqueries that are making the code incredibly hard to read and debug. What SQL feature can you use to refactor this query and make it more readable?,"<b>ANSWER:</b> Use a Common Table Expression (CTE) with the <code>WITH</code> clause.<br><br><b>The Simple Explanation:</b><br>A CTE acts like a temporary view or variable for your query. It allows you to break down complex logic into sequential, easy-to-read blocks before your main SELECT statement.<br><br><b>The Code:</b><br><code>WITH RegionalSales AS (SELECT Region, SUM(Sales) as Total FROM Sales GROUP BY Region) SELECT * FROM RegionalSales WHERE Total > 10000;</code>",SQL Postgres,sql cte refactor type-scenario,scenario
"If your Logistic Regression outputs predictions of `[1, 0, 1]`, and your actual `y_test` is `[1, 1, 1]`, what is your accuracy?","<b>ANSWER:</b> 66.6% (or 2/3).<br><br><b>The Simple Explanation:</b><br>The model got the first and third predictions right, but missed the second one.",Analyst ML,ml sklearn accuracy predict type-predict,predict
Write a simple script from scratch that calculates and prints the accuracy score of your `predictions` against the true `y_test` labels.,"<b>ANSWER:</b><br><code>from sklearn.metrics import accuracy_score<br>acc = accuracy_score(y_test, predictions)<br>print(f'Accuracy: {acc}')</code>",Analyst ML,ml sklearn accuracy type-fromscratch,fromscratch
`datetime.now()` vs `datetime.utcnow()` — what's the practical difference?,"<b>ANSWER:</b><br><code>now()</code> returns the local time of the machine running the script.<br><code>utcnow()</code> returns standard UTC time, which is much safer for databases and servers to avoid timezone bugs.",Python Core,python dates datetime timezone compare type-compare,compare
"Fill in the blank to find the position of a space character in PostgreSQL:<br><code>SELECT SUBSTRING(FullName, 1, ____(' ' IN FullName) - 1) as FirstName FROM Users;</code>",<b>ANSWER:</b> <code>POSITION</code>,SQL Postgres,sql strings substring type-cloze,cloze
"You are building a model to predict if a customer will click an ad. The relationship between age, income, and clicking is highly non-linear. What is a good starting algorithm that handles non-linear relationships natively?","<b>ANSWER:</b> Use a <code>RandomForestClassifier</code> (or a single <code>DecisionTreeClassifier</code>).<br><br><b>The Simple Explanation:</b><br>Tree-based models can easily learn non-linear patterns (e.g., 'young and high income' vs 'old and low income') without requiring complex feature engineering like polynomial terms.",Analyst ML,ml sklearn random-forest type-scenario,scenario
Fill in the blank to safely catch a file reading error:<br><code>____:<br>    with open('data.csv') as f:<br>        pass<br>except FileNotFoundError:<br>    print('File missing!')</code>,<b>ANSWER:</b> <code>try</code>,Python Core,python files exception try-except type-cloze,cloze
"What does this code do?<br><code>import json, pandas as pd<br>with open('config.json') as f:<br>    path = json.load(f)['data_path']<br>df = pd.read_csv(path)</code>","<b>ANSWER:</b> It securely loads a file path from an external JSON configuration file, then reads the CSV at that path into Pandas.<br><br><b>The Simple Explanation:</b><br>This is a best practice so you don't hardcode sensitive or environment-specific paths directly in your data analysis script.",Analyst Python,pandas analyst files json read_csv type-reverse,reverse
"This regex fails to extract the year 2023 from 'sales_2023.csv'. Why?<br><code>import re<br>match = re.search(r'[A-Z]{4}', 'sales_2023.csv')</code>","<b>ANSWER:</b> The pattern `[A-Z]{4}` looks for exactly four uppercase letters, not four numbers.<br><br><b>The Fix:</b><br><code>match = re.search(r'\d{4}', 'sales_2023.csv')</code>",Python Core,python files regex debug type-debug,debug
"You are writing a script that might hit an API rate limit. If it receives a `KeyError` when parsing the JSON, you want it to log the error and continue to the next loop iteration, not crash. How?",<b>ANSWER:</b> Use a <code>try / except</code> block combined with <code>continue</code>.<br><br><b>The Simple Explanation:</b><br>Catch the specific error inside the loop so the rest of the script survives.<br><br><b>The Code:</b><br><code>for user in users:<br>    try:<br>        print(user['name'])<br>    except KeyError as e:<br>        logging.error(f'Missing key: {e}')<br>        continue</code>,Python Core,python core try-except loop type-scenario,scenario
What does this code do?<br><code>import os<br>db_pass = os.environ.get('DB_PASSWORD')</code>,<b>ANSWER:</b> It safely retrieves an environment variable.<br><br><b>The Simple Explanation:</b><br>Using `.get()` is safer than `os.environ['DB_PASSWORD']` because it returns `None` instead of crashing if the variable doesn't exist.,Python Files,python files os environment variables type-reverse,reverse
"Write the standard two lines of code to train a `LogisticRegression` model named `model` on training data `X_train` and `y_train`, and then make predictions on `X_test`.","<b>ANSWER:</b><br><code>model.fit(X_train, y_train)<br>predictions = model.predict(X_test)</code>",Analyst ML,ml sklearn fit predict type-fromscratch,fromscratch
`os.walk()` vs `os.listdir()` — what's the difference?,"<b>ANSWER:</b><br><code>os.listdir()</code> returns only the immediate contents of a single directory.<br><code>os.walk()</code> recursively visits every subdirectory tree, yielding a tuple of (dirpath, dirnames, filenames) for each level.",Python Files,python files os directory tree compare type-compare,compare
"Fill in the blank to convert a string into a datetime object:<br><code>from datetime import datetime<br>dt = datetime.____('2023-01-01', '%Y-%m-%d')</code>",<b>ANSWER:</b> <code>strptime</code> (String Parse Time),Python Core,python dates datetime strptime type-cloze,cloze
What is the purpose of `FIRST_VALUE()` vs `LAST_VALUE()` in a window function?,<b>ANSWER:</b><br><code>FIRST_VALUE()</code> gets the value from the first row in the window frame.<br><code>LAST_VALUE()</code> gets the value from the last row. *Note: You often need to change the default frame to `UNBOUNDED FOLLOWING` for LAST_VALUE to work as expected.*,SQL Postgres,sql window-function compare type-compare,compare
"Fill in the blank to extract all email addresses from a string into a list:<br><code>emails = re.____(r'\b[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Z|a-z]{2,7}\b', text)</code>",<b>ANSWER:</b> <code>findall</code>,Python Core,python core regex extract type-cloze,cloze
"What does this code do in Postgres, and why doesn't it exist in MySQL?<br><code>SELECT * FROM Users WHERE Name ILIKE '%john%';</code>","<b>ANSWER:</b> It performs a case-insensitive match for 'john'.<br><br><b>The Simple Explanation:</b><br>In Postgres, `LIKE` is strictly case-sensitive, so `ILIKE` was added. In MySQL, `LIKE` is already case-insensitive by default (depending on collation).",SQL Dialect Diff,sql like ilike dialect type-reverse,reverse
How do you extract the year from a date in MySQL vs Postgres?,<b>ANSWER:</b><br>Both support standard SQL: <code>EXTRACT(YEAR FROM date)</code>.<br>MySQL also has a handy shortcut: <code>YEAR(date)</code>.,SQL Dialect Diff,sql dates year dialect compare type-compare,compare
"Fill in the blank to pull the date of the previous row into the current row for subtraction:<br><code>SELECT UserID, LoginDate, ____(LoginDate, 1) OVER (PARTITION BY UserID ORDER BY LoginDate) as PrevLogin FROM UserLogs;</code>","<b>ANSWER:</b> <code>LAG</code><br><br><b>The Simple Explanation:</b><br>`LAG()` reaches back to a previous row and pulls its value into the current row. (`LEAD()` does the opposite, looking ahead).",SQL Postgres,sql window-function lag type-cloze,cloze
You just inserted a row and want to immediately get the auto-generated ID back. How does Postgres handle this elegantly?,<b>ANSWER:</b> Using the <code>RETURNING</code> clause.<br><br><b>The Code:</b><br><code>INSERT INTO Users (Name) VALUES ('Alice') RETURNING id;</code><br>(MySQL doesn't support this; you'd use `LAST_INSERT_ID()`).,SQL Dialect Diff,sql returning insert dialect type-scenario,scenario
"As an analyst, you often need to quickly get a sense of the distribution of numerical data in a DataFrame. What single Pandas method provides count, mean, standard deviation, min, max, and quartile information for all numeric columns?","<b>ANSWER:</b> Use the <code>describe()</code> method.<br><br><b>The Simple Explanation:</b><br>`describe()` generates descriptive statistics. It is the fastest way to spot outliers, understand the spread of data, and confirm expected value ranges before deep analysis.<br><br><b>The Code:</b><br><code>summary_stats = df.describe()</code>",Analyst Python,pandas analyst statistics exploration type-scenario,scenario
`json.load()` vs `json.loads()` — what's the difference?,<b>ANSWER:</b><br><code>json.load()</code>: Reads JSON data directly from a file object.<br><code>json.loads()</code>: Reads JSON data from a Python String ('s' stands for string).,Python Core,python files json load loads compare type-compare,compare
"What does this code do, and what SQL operation is it equivalent to?<br><code>merged_df = pd.merge(df_users, df_orders, on='user_id', how='left')</code>","<b>ANSWER:</b> It combines `df_users` and `df_orders` side-by-side using `user_id`.<br><br><b>The Simple Explanation:</b><br>This is equivalent to a SQL `LEFT JOIN`. It keeps all users and attaches their orders, placing NaNs where a user has no orders.",Analyst Python,pandas analyst merge joins type-reverse,reverse
Your query is running extremely slow. What command can you prefix your SELECT statement with to see how the database engine plans to execute the query and identify bottlenecks like missing indexes?,"<b>ANSWER:</b> Use the <code>EXPLAIN</code> or <code>EXPLAIN ANALYZE</code> command.<br><br><b>The Simple Explanation:</b><br>`EXPLAIN` reveals the query execution plan (e.g., sequential scans vs index scans). `EXPLAIN ANALYZE` actually runs the query and shows the real execution time for each step.<br><br><b>The Code:</b><br><code>EXPLAIN ANALYZE SELECT * FROM Users WHERE Email = 'test@test.com';</code>",SQL Postgres,sql performance explain type-scenario,scenario
How is a boolean True/False stored natively in Postgres vs MySQL?,"<b>ANSWER:</b><br>Postgres: Has a native <code>BOOLEAN</code> data type.<br>MySQL: Lacks a true boolean, uses <code>TINYINT(1)</code> where 1=True and 0=False under the hood.",SQL Dialect Diff,sql boolean dialect compare type-compare,compare
Scaling requirement: `StandardScaler` vs Tree-based models (Random Forest / XGBoost) — what's the rule?,"<b>ANSWER:</b><br>Models relying on distance/math (Linear Regression, Logistic, K-Means) <b>require</b> scaling.<br>Tree-based models (Random Forest, XGBoost) do <b>not</b> require scaling, as they split data purely based on thresholds.",Analyst ML,ml sklearn scaling trees compare type-compare,compare
"A DataFrame column 'OrderDate' is currently stored as a string object (e.g., '2023-10-25'). For time-series analysis, you need to extract the month. How do you first convert the column, and then extract the month?","<b>ANSWER:</b> Convert with <code>pd.to_datetime()</code>, then use the <code>.dt</code> accessor.<br><br><b>The Simple Explanation:</b><br>Pandas needs columns in a true datetime format to perform date math. Once converted, the `.dt` object exposes powerful date properties like `.dt.month`, `.dt.year`, and `.dt.day_name()`.<br><br><b>The Code:</b><br><code>df['OrderDate'] = pd.to_datetime(df['OrderDate'])<br>df['Month'] = df['OrderDate'].dt.month</code>",Analyst Python,pandas analyst dates datetime type-scenario,scenario
"This Postgres query is failing in MySQL. Fix it.<br><code>SELECT TO_CHAR(OrderDate, 'YYYY-MM') FROM Orders;</code>","<b>ANSWER:</b> <code>TO_CHAR</code> is Postgres/Oracle specific.<br><br><b>The Fix:</b> Use MySQL's <code>DATE_FORMAT</code>.<br><code>SELECT DATE_FORMAT(OrderDate, '%Y-%m') FROM Orders;</code>",SQL Dialect Diff,sql dates format dialect type-debug,debug
"Fill in the blank to append today's date to a CSV export filename using f-strings and datetime:<br><code>from datetime import datetime<br>today = datetime.now().strftime('%Y%m%d')<br>df.to_csv(f'sales_____.csv', index=False)</code>",<b>ANSWER:</b> <code>{today}</code>,Analyst Python,pandas analyst files datetime export type-cloze,cloze
"This script reads a file but prints strange characters and throws a `UnicodeDecodeError`. What is missing?<br><code>with open('weird_data.csv', 'r') as f:<br>    text = f.read()</code>","<b>ANSWER:</b> It's missing the `encoding` parameter.<br><br><b>The Fix:</b><br><code>with open('weird_data.csv', 'r', encoding='utf-8') as f:</code><br>*(or 'latin-1' if utf-8 fails)*",Python Files,python files unicode encoding type-debug,debug
"`df.to_csv('out.csv')` vs `df.to_csv('out.csv', index=False)` — what is the visual difference in the resulting CSV file?","<b>ANSWER:</b><br>The first creates a CSV with an extra unnamed first column containing the pandas integer row index (0, 1, 2...).<br>The second (`index=False`) omits this column, which is usually preferred unless the index contains meaningful data like a timestamp.",Analyst Python,pandas analyst files export csv compare type-compare,compare
You want to ensure that scaling and model training are tightly coupled so you never accidentally leak data or forget a step when predicting on new data. Which sklearn feature should you use?,"<b>ANSWER:</b> Use a <code>Pipeline</code>.<br><br><b>The Simple Explanation:</b><br>A Pipeline chains multiple steps (like `StandardScaler` then `LogisticRegression`) into a single object. When you call `pipeline.fit()`, it automatically handles the intermediate transformations.<br><br><b>The Code:</b><br><code>from sklearn.pipeline import make_pipeline<br>pipe = make_pipeline(StandardScaler(), LogisticRegression())</code>",Analyst ML,ml sklearn pipeline type-scenario,scenario
What does this code do?<br><code>import pathlib<br>p = pathlib.Path('data.csv')<br>print(p.exists())</code>,"<b>ANSWER:</b> It returns `True` if `data.csv` exists in the current directory, and `False` otherwise.",Python Files,python files pathlib exists type-reverse,reverse
"Your manager wants a summary table where the rows are 'Region', the columns are 'Product_Type', and the values are the average 'Profit'. This requires reshaping the data from a long format to a wide format. Which Pandas function achieves this?","<b>ANSWER:</b> Use the <code>pivot_table()</code> function.<br><br><b>The Simple Explanation:</b><br>Similar to Excel Pivot Tables, Pandas `pivot_table` aggregates and reshapes data based on specified index (rows), columns, and a custom aggregation function (default is mean).<br><br><b>The Code:</b><br><code>pivot = df.pivot_table(index='Region', columns='Product_Type', values='Profit', aggfunc='mean')</code>",Analyst Python,pandas analyst pivot reshape type-scenario,scenario
Fill in the blank to scale features so they have a mean of 0 and variance of 1:<br><code>from sklearn.preprocessing import StandardScaler<br>scaler = StandardScaler()<br>X_scaled = scaler.____(X)</code>,"<b>ANSWER:</b> <code>fit_transform</code><br><br><b>The Simple Explanation:</b><br>`fit_transform` learns the mean/variance of the data AND scales it in one step. (For the test set, you would only use `.transform()`).",Analyst ML,ml sklearn scaling scaler type-cloze,cloze
You need to get a list of all files and folders in a specific directory `C:/logs`. What is the simplest `os` function for this?,<b>ANSWER:</b> Use <code>os.listdir()</code>.<br><br><b>The Code:</b><br><code>import os<br>contents = os.listdir('C:/logs')</code>,Python Files,python files os listdir type-scenario,scenario
`DecisionTreeClassifier` vs `RandomForestClassifier` — which is more interpretable?,"<b>ANSWER:</b><br><code>DecisionTreeClassifier</code> is highly interpretable. You can print out the exact IF/THEN rules it learned.<br><code>RandomForestClassifier</code> is a 'black box'. Because it averages hundreds of trees, you can't easily draw a flowchart of its decision process.",Analyst ML,ml sklearn tree compare type-compare,compare
`mean_squared_error` vs `r2_score` for regression — what is the difference?,"<b>ANSWER:</b><br><code>mean_squared_error (MSE)</code>: The absolute average squared distance between predictions and actuals (in the units of the target squared, e.g., dollars²). Lower is better.<br><code>r2_score (R-Squared)</code>: A relative percentage of variance explained (0.0 to 1.0). Higher is better.",Analyst ML,ml sklearn regression metrics compare type-compare,compare
