Question,Answer,Topic,Tags
"What is the Merge Intervals Pattern? When do you use it?","<b>ANSWER:</b> Sorting a list of intervals based on their start times, and then iterating to merge overlapping intervals.<br><br><b>Application:</b> Booking systems, meeting rooms, scheduling, and finding overlapping timeframes.<br><br><b>What to look out for:</b> Two intervals `[a, b]` and `[c, d]` overlap if `c <= b`. Always sort the array by the start time (`a`) first!","DSA Patterns","dsa pattern merge-intervals"
"Code Merge Intervals: Merge all overlapping intervals","<b>ANSWER:</b> Given a list of intervals, merge all overlapping ones.<br><br><b>Java Code:</b><br><code>public int[][] merge(int[][] intervals) {<br>  Arrays.sort(intervals, (a, b) -> Integer.compare(a[0], b[0]));<br>  List<int[]> merged = new ArrayList<>();<br>  int[] current = intervals[0];<br>  merged.add(current);<br>  for (int[] interval : intervals) {<br>    if (interval[0] <= current[1]) // Overlapping<br>      current[1] = Math.max(current[1], interval[1]);<br>    else { // No overlap, add new<br>      current = interval;<br>      merged.add(current);<br>    }<br>  }<br>  return merged.toArray(new int[merged.size()][]);<br>}</code><br><br><b>Python Code:</b><br><code>def merge(intervals):<br>    intervals.sort(key=lambda x: x[0])<br>    merged = [intervals[0]]<br>    for current in intervals:<br>        prev = merged[-1]<br>        if current[0] <= prev[1]: # Overlapping<br>            prev[1] = max(prev[1], current[1])<br>        else:<br>            merged.append(current)<br>    return merged</code>","DSA Patterns","dsa merge-intervals code"
"What is the Cyclic Sort Pattern?","<b>ANSWER:</b> A highly specific sorting algorithm that runs in O(N) time and O(1) space.<br><br><b>Application:</b> Use this ONLY when you are given an array of numbers in the range from `1` to `N` (or `0` to `N`), and you need to find the missing or duplicate number.<br><br><b>What to look out for:</b> If the array has numbers from 1 to N, the number `i` should technically be sitting at index `i-1`. You swap numbers directly into their correct index until everything matches.","DSA Patterns","dsa pattern cyclic-sort"
"Code Cyclic Sort: Find the Missing Number","<b>ANSWER:</b> Array has numbers from 0 to n. Find the missing one in O(N) time and O(1) space.<br><br><b>Java Code:</b><br><code>public int missingNumber(int[] nums) {<br>  int i = 0;<br>  while (i < nums.length) {<br>    if (nums[i] < nums.length && nums[i] != nums[nums[i]]) {<br>      // swap nums[i] with nums[nums[i]]<br>      int temp = nums[nums[i]]; nums[nums[i]] = nums[i]; nums[i] = temp;<br>    } else { i++; }<br>  }<br>  for (i = 0; i < nums.length; i++) {<br>    if (nums[i] != i) return i;<br>  }<br>  return nums.length;<br>}</code><br><br><b>Python Code:</b><br><code>def missing_number(nums):<br>    i, n = 0, len(nums)<br>    while i < n:<br>        j = nums[i]<br>        if j < n and nums[i] != nums[j]:<br>            nums[i], nums[j] = nums[j], nums[i] # swap<br>        else: i += 1<br>    for i in range(n):<br>        if nums[i] != i: return i<br>    return n</code>","DSA Patterns","dsa cyclic-sort code"
"What is In-Place Reversal of a Linked List?","<b>ANSWER:</b> Reversing the links between nodes of a Linked List without using extra memory (O(1) space).<br><br><b>Application:</b> Reversing a full list, reversing a sub-list (from node M to N), or reversing nodes in K-groups.<br><br><b>What to look out for:</b> You need 3 pointers: `prev`, `current`, and `next`. Be extremely careful about losing the reference to the rest of the list when you break a link!","DSA Fundamentals","dsa pattern linked-list reversal"
"Code Linked List: Reverse a Singly Linked List","<b>ANSWER:</b> Reverse it in O(N) time and O(1) space.<br><br><b>Java Code:</b><br><code>public ListNode reverseList(ListNode head) {<br>  ListNode prev = null, current = head, next = null;<br>  while (current != null) {<br>    next = current.next; // temporarily store the next node<br>    current.next = prev; // physically reverse the arrow<br>    prev = current;      // move prev forward<br>    current = next;      // move current forward<br>  }<br>  return prev; // prev is the new head<br>}</code><br><br><b>Python Code:</b><br><code>def reverse_list(head):<br>    prev, current = None, head<br>    while current is not None:<br>        next_node = current.next<br>        current.next = prev<br>        prev = current<br>        current = next_node<br>    return prev</code>","DSA Patterns","dsa linked-list code"

"What is the Tree Breadth-First Search (BFS) Pattern?","<b>ANSWER:</b> Exploring a tree level by level, from top to bottom, left to right.<br><br><b>Application:</b> Use BFS when asked to traverse a tree in 'level order', finding the shortest path in an unweighted graph, or finding the 'right-most' node of a level.<br><br><b>What to look out for:</b> BFS ALWAYS uses a Queue (FIFO data structure). You push the root into the queue, then loop while the queue is not empty, pulling nodes out and pushing their children in.","DSA Patterns","dsa pattern tree bfs queue"
"Code Tree BFS: Level Order Traversal","<b>ANSWER:</b> Return a list of lists containing the node values at each level.<br><br><b>Java Code:</b><br><code>public List<List<Integer>> levelOrder(TreeNode root) {<br>  List<List<Integer>> res = new ArrayList<>();<br>  if (root == null) return res;<br>  Queue<TreeNode> q = new LinkedList<>();<br>  q.offer(root);<br>  while (!q.isEmpty()) {<br>    int levelSize = q.size();<br>    List<Integer> level = new ArrayList<>();<br>    for (int i = 0; i < levelSize; i++) {<br>      TreeNode curr = q.poll();<br>      level.add(curr.val);<br>      if (curr.left != null) q.offer(curr.left);<br>      if (curr.right != null) q.offer(curr.right);<br>    }<br>    res.add(level);<br>  }<br>  return res;<br>}</code><br><br><b>Python Code:</b><br><code>from collections import deque<br>def levelOrder(root):<br>    if not root: return []<br>    res, q = [], deque([root])<br>    while q:<br>        level_size = len(q)<br>        level = []<br>        for _ in range(level_size):<br>            curr = q.popleft()<br>            level.append(curr.val)<br>            if curr.left: q.append(curr.left)<br>            if curr.right: q.append(curr.right)<br>        res.append(level)<br>    return res</code>","DSA Patterns","dsa tree bfs code"
"What is the Tree Depth-First Search (DFS) Pattern?","<b>ANSWER:</b> Plunging as deep as physically possible down a single branch before backtracking to explore others.<br><br><b>Application:</b> Traversing a tree completely, searching for paths that add up to a specific sum (Path Sum), or finding the max depth of a tree.<br><br><b>What to look out for:</b> DFS is almost always implemented using Recursion (which implicitly uses the Call Stack). If you must do it iteratively, use a Stack (LIFO data structure).","DSA Patterns","dsa pattern tree dfs recursion"
"Code Tree DFS: Path Sum","<b>ANSWER:</b> Return true if the tree has a root-to-leaf path such that adding up all the values along the path equals targetSum.<br><br><b>Java Code:</b><br><code>public boolean hasPathSum(TreeNode root, int targetSum) {<br>  if (root == null) return false;<br>  // If it's a leaf node, check if the remaining sum equals the node's value<br>  if (root.left == null && root.right == null && root.val == targetSum) return true;<br>  // Recursively check left and right branches<br>  return hasPathSum(root.left, targetSum - root.val) || <br>         hasPathSum(root.right, targetSum - root.val);<br>}</code><br><br><b>Python Code:</b><br><code>def has_path_sum(root, target_sum):<br>    if not root: return False<br>    if not root.left and not root.right and root.val == target_sum:<br>        return True<br>    return has_path_sum(root.left, target_sum - root.val) or \\<br>           has_path_sum(root.right, target_sum - root.val)</code>","DSA Patterns","dsa tree dfs code"
"What is a Graph? Adjacency List vs Adjacency Matrix?","<b>ANSWER:</b> A collection of nodes (vertices) connected by edges.<br><br><b>Adjacency List (Best for Sparse Graphs):</b><br>An array or hashmap of lists. `Map<Integer, List<Integer>>`. If node 1 connects to 2 and 3, `map.get(1)` returns `[2, 3]`. Saves massive amounts of memory.<br><br><b>Adjacency Matrix (Best for Dense Graphs):</b><br>A 2D array `matrix[V][V]`. If node 1 connects to 2, `matrix[1][2] = 1`. Wastes huge amounts of memory if most nodes don't connect to each other, but checking a connection is instant O(1).","DSA Fundamentals","dsa graph basics"
"How is Graph DFS different from Tree DFS?","<b>ANSWER:</b> Cycles!<br><br><b>The Simple Explanation:</b><br>Trees are strictly hierarchical. They never loop back on themselves. Graphs can have cycles (A points to B, B points to C, C points back to A).<br><br>If you run a normal Tree DFS on a cyclic Graph, your code will get stuck in an infinite loop and crash with a StackOverflow Error.<br><b>The Fix:</b> Graph DFS MUST keep track of a `Set<Node> visited` array/hashset. Before visiting a node, check if it's already in the visited set!","DSA Patterns","dsa graph dfs"
"Code Graph DFS: Number of Islands","<b>ANSWER:</b> Given a 2D grid of '1's (land) and '0's (water), count the number of islands.<br><br><b>Java Code:</b><br><code>public int numIslands(char[][] grid) {<br>  int count = 0;<br>  for (int i = 0; i < grid.length; i++) {<br>    for (int j = 0; j < grid[0].length; j++) {<br>      if (grid[i][j] == '1') { count++; dfs(grid, i, j); }<br>    }<br>  }<br>  return count;<br>}<br>private void dfs(char[][] grid, int i, int j) {<br>  if (i < 0 || i >= grid.length || j < 0 || j >= grid[0].length || grid[i][j] == '0') return;<br>  grid[i][j] = '0'; // mark as visited by sinking it!<br>  dfs(grid, i+1, j); dfs(grid, i-1, j); dfs(grid, i, j+1); dfs(grid, i, j-1);<br>}</code><br><br><b>Python Code:</b><br><code>def numIslands(grid):<br>    def dfs(i, j):<br>        if i<0 or i>=len(grid) or j<0 or j>=len(grid[0]) or grid[i][j]=='0': return<br>        grid[i][j] = '0'<br>        dfs(i+1, j); dfs(i-1, j); dfs(i, j+1); dfs(i, j-1)<br>    count = 0<br>    for i in range(len(grid)):<br>        for j in range(len(grid[0])):<br>            if grid[i][j] == '1': count += 1; dfs(i, j)<br>    return count</code>","DSA Patterns","dsa graph dfs code"
"What is Topological Sort?","<b>ANSWER:</b> Sorting a directed acyclic graph (DAG) so that every parent appears before its children.<br><br><b>Application:</b> Course prerequisites (You must take Course A before Course B), task scheduling, compiling dependencies (e.g., Makefiles, NPM installs).<br><br><b>What to look out for:</b> If the graph has a cycle (Course A requires B, and B requires A), a Topological Sort is physically impossible. You must detect the cycle! Use Kahn's Algorithm (BFS with In-Degree tracking) or DFS with a visited stack.","DSA Patterns","dsa graph topological-sort"
"What is Backtracking? When do you use it?","<b>ANSWER:</b> It is DFS on steroids. You build a solution incrementally, and if you realize the current path is wrong, you 'undo' your last choice and try a different path.<br><br><b>Application:</b> Combinations, Permutations, Sudoku Solver, N-Queens problem.<br><br><b>What to look out for:</b> The 3 keys to Backtracking:<br>1. <i>Choose:</i> Make a choice and add it to your path.<br>2. <i>Explore:</i> Call recursion to see where this choice leads.<br>3. <i>Un-choose (Backtrack):</i> Remove the choice from your path so the loop can try the next option.","DSA Patterns","dsa pattern backtracking recursion"
"Code Backtracking: Permutations","<b>ANSWER:</b> Return all possible permutations of an array of distinct integers.<br><br><b>Java Code:</b><br><code>public List<List<Integer>> permute(int[] nums) {<br>  List<List<Integer>> res = new ArrayList<>();<br>  backtrack(res, new ArrayList<>(), nums);<br>  return res;<br>}<br>private void backtrack(List<List<Integer>> res, List<Integer> tempList, int[] nums) {<br>  if (tempList.size() == nums.length) res.add(new ArrayList<>(tempList));<br>  else {<br>    for (int i = 0; i < nums.length; i++) {<br>      if (tempList.contains(nums[i])) continue; // element already exists, skip<br>      tempList.add(nums[i]); // CHOOSE<br>      backtrack(res, tempList, nums); // EXPLORE<br>      tempList.remove(tempList.size() - 1); // UN-CHOOSE (backtrack)<br>    }<br>  }<br>}</code><br><br><b>Python Code:</b><br><code>def permute(nums):<br>    res = []<br>    def backtrack(path):<br>        if len(path) == len(nums): res.append(path[:]); return<br>        for num in nums:<br>            if num in path: continue<br>            path.append(num)<br>            backtrack(path)<br>            path.pop()<br>    backtrack([])<br>    return res</code>","DSA Patterns","dsa backtracking code"
"What is Binary Search? What is the template?","<b>ANSWER:</b> Finding a target in a SORTED array by repeatedly cutting the search space in half. It runs in O(log N) time.<br><br><b>Application:</b> Searching sorted arrays, finding the boundary of a boolean condition (e.g., finding the first bad version).<br><br><b>What to look out for:</b> Calculating the middle index as `(left + right) / 2` can cause integer overflow in Java if the array is massive. ALWAYS use `left + (right - left) / 2`.","DSA Fundamentals","dsa pattern binary-search"
"Code Binary Search","<b>ANSWER:</b> Return the index of target in a sorted array, or -1 if not found.<br><br><b>Java Code:</b><br><code>public int search(int[] nums, int target) {<br>  int left = 0, right = nums.length - 1;<br>  while (left <= right) {<br>    int mid = left + (right - left) / 2;<br>    if (nums[mid] == target) return mid;<br>    if (nums[mid] < target) left = mid + 1; // target is on the right<br>    else right = mid - 1; // target is on the left<br>  }<br>  return -1;<br>}</code><br><br><b>Python Code:</b><br><code>def search(nums, target):<br>    left, right = 0, len(nums) - 1<br>    while left <= right:<br>        mid = left + (right - left) // 2<br>        if nums[mid] == target: return mid<br>        elif nums[mid] < target: left = mid + 1<br>        else: right = mid - 1<br>    return -1</code>","DSA Patterns","dsa binary-search code"

"What is Dynamic Programming (DP)?","<b>ANSWER:</b> Solving a massive problem by breaking it down into smaller subproblems, and saving the answers to those subproblems so you never have to calculate them twice.<br><br><b>Application:</b> Use it when a problem asks for the 'maximum', 'minimum', or 'total number of ways' to do something, AND the problem has overlapping subproblems.<br><br><b>What to look out for:</b> DP has two main flavors:<br>1. <b>Top-Down (Memoization):</b> Uses Recursion + a HashMap/Array to save answers.<br>2. <b>Bottom-Up (Tabulation):</b> Uses Iteration + a 1D/2D Array to build the solution from the smallest base case up to the final answer.","DSA Patterns","dsa pattern dynamic-programming"
"Code Dynamic Programming: Fibonacci (Bottom-Up Tabulation)","<b>ANSWER:</b> Find the Nth Fibonacci number in O(N) time and O(N) space.<br><br><b>Java Code:</b><br><code>public int fib(int n) {<br>  if (n <= 1) return n;<br>  int[] dp = new int[n + 1];<br>  dp[0] = 0; dp[1] = 1;<br>  for (int i = 2; i <= n; i++) {<br>    dp[i] = dp[i - 1] + dp[i - 2];<br>  }<br>  return dp[n];<br>}</code><br><br><b>Python Code:</b><br><code>def fib(n):<br>    if n <= 1: return n<br>    dp = [0] * (n + 1)<br>    dp[1] = 1<br>    for i in range(2, n + 1):<br>        dp[i] = dp[i - 1] + dp[i - 2]<br>    return dp[n]</code><br><i>Pro Tip:</i> You can optimize this to O(1) space by only saving the last two variables instead of the whole array!","DSA Patterns","dsa dynamic-programming code"
"What is the 0/1 Knapsack Pattern?","<b>ANSWER:</b> The most famous DP pattern. You are given items with a weight and a profit, and a knapsack with a maximum weight capacity. Find the maximum profit you can carry.<br><br><b>Application:</b> Any problem where you have a limited constraint (capacity) and you must make a binary choice for each item: 'Do I include this item, or do I exclude it?'<br><br><b>What to look out for:</b> The 2D DP table will have the items on one axis, and the capacity (from 0 to Max Capacity) on the other axis. The formula is always: `max(profit_excluding_item, profit_including_item)`.","DSA Patterns","dsa pattern dynamic-programming knapsack"
"What is a Trie (Prefix Tree)?","<b>ANSWER:</b> A highly specialized tree used exclusively for storing and searching strings/characters.<br><br><b>Application:</b> Auto-complete systems, spell checkers, IP routing, and solving word search games (Boggle).<br><br><b>What to look out for:</b> Each node in a Trie does NOT store a full string. It stores a single character (or implicitly represents a character based on its array index), and a boolean flag `isEndOfWord`. A path from the root to an `isEndOfWord` node forms a complete string.","DSA Fundamentals","dsa pattern trie"
"Code Trie: Insert and Search a Word","<b>ANSWER:</b> Implement a basic Trie.<br><br><b>Java Code (Node & Insert):</b><br><code>class TrieNode {<br>  TrieNode[] children = new TrieNode[26];<br>  boolean isWord = false;<br>}<br>public void insert(String word) {<br>  TrieNode curr = root;<br>  for (char c : word.toCharArray()) {<br>    if (curr.children[c - 'a'] == null) curr.children[c - 'a'] = new TrieNode();<br>    curr = curr.children[c - 'a'];<br>  }<br>  curr.isWord = true;<br>}</code><br><br><b>Python Code (Node & Insert):</b><br><code>class TrieNode:<br>    def __init__(self):<br>        self.children = {}<br>        self.is_word = False<br><br>class Trie:<br>    def insert(self, word):<br>        curr = self.root<br>        for char in word:<br>            if char not in curr.children:<br>                curr.children[char] = TrieNode()<br>            curr = curr.children[char]<br>        curr.is_word = True</code>","DSA Patterns","dsa trie code"
"What is the Top 'K' Elements Pattern? (Heaps/Priority Queues)","<b>ANSWER:</b> Finding the largest, smallest, or most frequent 'K' elements in an array or stream of data.<br><br><b>Application:</b> Any problem asking for 'Top K', 'Kth largest', or 'K closest'.<br><br><b>What to look out for:</b> ALWAYS use a Heap (Priority Queue). <br>If asked for the 'Top K Largest', use a MIN-Heap of size K. Why? Because the smallest elements sit at the top of the Min-Heap and get popped off, leaving only the K largest elements sitting safely at the bottom of the heap!","DSA Patterns","dsa pattern heap priority-queue"
"Code Top K Elements: Find Kth Largest Element in an Array","<b>ANSWER:</b> Find the Kth largest element using a Min-Heap.<br><br><b>Java Code:</b><br><code>public int findKthLargest(int[] nums, int k) {<br>  PriorityQueue<Integer> minHeap = new PriorityQueue<>();<br>  for (int num : nums) {<br>    minHeap.add(num);<br>    if (minHeap.size() > k) {<br>      minHeap.poll(); // evict the smallest element<br>    }<br>  }<br>  return minHeap.peek(); // The Kth largest is sitting at the top!<br>}</code><br><br><b>Python Code:</b><br><code>import heapq<br>def find_kth_largest(nums, k):<br>    min_heap = []<br>    for num in nums:<br>        heapq.heappush(min_heap, num)<br>        if len(min_heap) > k:<br>            heapq.heappop(min_heap)<br>    return min_heap[0]</code>","DSA Patterns","dsa heap priority-queue code"
"What is Union Find (Disjoint Set)?","<b>ANSWER:</b> A data structure that keeps track of a set of elements partitioned into a number of disjoint (non-overlapping) subsets.<br><br><b>Application:</b> Finding if two nodes belong to the same network/component, detecting cycles in an UNDIRECTED graph, or Kruskal's Algorithm for Minimum Spanning Trees.<br><br><b>What to look out for:</b> The two critical optimizations are <b>Path Compression</b> (flattening the tree when `find()` is called) and <b>Union by Rank/Size</b> (always attaching the smaller tree under the root of the larger tree).","DSA Fundamentals","dsa pattern union-find"
"Code Union Find: Detect Cycle in Undirected Graph","<b>ANSWER:</b> Implement basic Union Find with Path Compression.<br><br><b>Java Code:</b><br><code>class UnionFind {<br>  int[] parent;<br>  public UnionFind(int n) {<br>    parent = new int[n];<br>    for (int i = 0; i < n; i++) parent[i] = i; // Everyone is their own boss initially<br>  }<br>  public int find(int i) {<br>    if (parent[i] == i) return i;<br>    return parent[i] = find(parent[i]); // Path Compression<br>  }<br>  public boolean union(int i, int j) {<br>    int rootI = find(i), rootJ = find(j);<br>    if (rootI == rootJ) return false; // Cycle detected! They already share a boss.<br>    parent[rootI] = rootJ; // Merge them<br>    return true;<br>  }<br>}</code>","DSA Patterns","dsa union-find code java"
"Code Union Find: Python Implementation","<b>ANSWER:</b> Python implementation with Path Compression.<br><br><b>Python Code:</b><br><code>class UnionFind:<br>    def __init__(self, n):<br>        self.parent = [i for i in range(n)]<br>    <br>    def find(self, i):<br>        if self.parent[i] == i:<br>            return i<br>        self.parent[i] = self.find(self.parent[i]) # Path Compression<br>        return self.parent[i]<br>    <br>    def union(self, i, j):<br>        root_i = self.find(i)<br>        root_j = self.find(j)<br>        if root_i == root_j:<br>            return False # Cycle detected<br>        self.parent[root_i] = root_j<br>        return True</code>","DSA Patterns","dsa union-find code python"
"What is the Monotonic Stack Pattern?","<b>ANSWER:</b> A stack whose elements are strictly increasing or strictly decreasing.<br><br><b>Application:</b> Finding the 'Next Greater Element' or 'Next Smaller Element' for every item in an array in O(N) time.<br><br><b>What to look out for:</b> As you iterate through the array, before pushing the current element onto the stack, you pop elements off the stack as long as the monotonic condition is violated. The element that forced the pop is the 'Next Greater/Smaller Element' for the popped items!","DSA Patterns","dsa pattern monotonic-stack"
"Code Monotonic Stack: Next Greater Element","<b>ANSWER:</b> For each element, find the first element to its right that is strictly greater.<br><br><b>Java Code:</b><br><code>public int[] nextGreaterElement(int[] nums) {<br>  int[] result = new int[nums.length];<br>  Arrays.fill(result, -1);<br>  Stack<Integer> stack = new Stack<>(); // Stores indices<br>  for (int i = 0; i < nums.length; i++) {<br>    while (!stack.isEmpty() && nums[i] > nums[stack.peek()]) {<br>      int index = stack.pop();<br>      result[index] = nums[i]; // nums[i] is the Next Greater Element for index!<br>    }<br>    stack.push(i);<br>  }<br>  return result;<br>}</code><br><br><b>Python Code:</b><br><code>def next_greater_element(nums):<br>    result = [-1] * len(nums)<br>    stack = [] # stores indices<br>    for i in range(len(nums)):<br>        while stack and nums[i] > nums[stack[-1]]:<br>            index = stack.pop()<br>            result[index] = nums[i]<br>        stack.append(i)<br>    return result</code>","DSA Patterns","dsa monotonic-stack code"

"What is the Subsets (Combinations) Pattern?","<b>ANSWER:</b> Generating all possible combinations of elements from a given set. The total number of subsets is always 2^N.<br><br><b>Application:</b> Permutations, Combinations, Power Sets.<br><br><b>What to look out for:</b> Start with an empty subset `[[]]`. Iterate through the array. For each number, take ALL existing subsets and add the new number to them to create brand new subsets.<br>`[]` -> add 1 -> `[], [1]` -> add 2 -> `[], [1], [2], [1, 2]`.","DSA Patterns","dsa pattern subsets combinations"
